Donte DiVincenzo,SG,21,strained left quadriceps,1,11,206,Average Weight,193.04,Average,0,18.5,2.8,6.4,0.5,0.5,0.5,3.1,1.9,0.2,0.2,0.5,1.2,7,5.6,10.9,11.7,0.6,3,0.5,0.7,1,1.9,0.6,1,0.7,0.9,1.2,3.6,3.6,11.08,Equal
Jahlil Okafor,C,21,tightness in left hamstring,1,4,270,Overweight,208.28,Average,1,12.8,2.5,6.5,0,0,0.5,1.5,0.5,0.5,0,1.5,2.5,5,0.6,1.69,12.6,1.8,5.3,0.5,0.5,0.3,2.8,0,0,0.5,0.5,1.5,4,1.3,3.71,Overperformed
Lauri Markkanen,PF,21,sprained right elbow,1,44,240,Average Weight,213.36,Overaverage,4,24.3,5.9,11.9,3.1,4.1,0.9,5.4,1.1,0.8,0.5,1.5,1.4,16.8,13.3,19.7,29.5,6,14.7,1.6,2,1.3,5.7,1.1,1.2,0.9,1.4,1.3,16.2,11.8,13.18,Underperformed
Malik Beasley,SG,21,elbow injury,1,6,187,Underweight,193.04,Average,5,12.5,1.6,4.2,0.4,0.4,0.2,1,0.5,0.1,0.1,0.5,0.9,4,1.8,5.18,13.4,1.3,3.7,0.3,0.5,0.4,1.2,0.8,0.7,0.1,0.3,1.1,3.3,2.5,6.72,Overperformed
Moe Wagner,PF,21,bruised left knee,1,8,245,Overweight,210.82,Overaverage,0,7.3,1.6,3.6,0.4,0.9,0.4,1.4,0.7,0.1,0,0.6,1.3,4.2,2.7,13.32,7,1.1,3.1,0.8,1,0.6,1.1,0.1,0.3,0.4,0.6,0.8,3.5,2.3,11.83,Equal
Stanley Johnson,SF,21,strained right hip flexor,1,19,242,Overweight,198.12,Average,1,23.3,2,6.1,2.2,2.6,0.8,2.9,1.5,1.2,0,0.7,2.6,7,5.6,8.65,28.9,4.2,10.8,2.3,2.9,0.7,3.6,2.4,1,0.4,1.7,2.4,11.3,7.5,9.34,Equal
Caris LeVert,SG,22,sore foot,1,42,205,Average Weight,198.12,Overaverage,1,14.2,1.4,4.4,0.6,1,0.3,2.3,1.4,0.8,0.1,0.7,0.7,4.1,3.2,8.11,13.7,2.8,6.1,1,1.3,0.2,2.1,1.5,0.7,0.1,0.7,1.6,7.6,5.8,15.24,Overperformed
Jaylen Brown,SG,22,lower back spasms,1,6,223,Overweight,198.12,Overaverage,6,26.9,5.5,10,2,3.6,0.7,3.2,1.3,0.7,0.3,1.1,1.9,14.9,10.9,14.59,22,5.5,10.5,1.5,3,0.5,1.5,1.2,2,0,1.5,2,13,9.8,16.04,Equal
Dario Saric,PF,23,sore right elbow,1,8,225,Underweight,208.28,Overaverage,0,26.2,4.9,11.1,2.4,3,1.3,4.6,2.6,0.9,0.1,1.9,2,13.8,10.6,14.56,20.2,3.8,9.5,0.3,0.8,1,2.3,2.9,0,0.4,0.5,0.6,10.2,8.2,14.61,Equal
Kevon Looney,C,23,neuropathy,1,36,222,Underweight,205.74,Underaverage,12,23.4,3.8,5.5,0.7,1.1,2.3,2.4,1.1,0.8,0.6,0.7,2.3,8,8.5,13.08,10.5,1.1,3.1,0.3,0.6,1.1,1.1,0.3,0.3,0.2,0.6,1.6,2.5,1.4,4.8,Underperformed
Alex Caruso,PG,24,strained right hip,1,4,186,Underweight,195.58,Overaverage,4,21.8,2.2,5.4,1.1,1.6,0.8,2.3,3,0.8,0.2,1.9,2.2,6.1,4.9,8.09,9.6,1.2,1.9,0.5,0.8,0.2,0.7,0.8,0.1,0.3,0.3,1.6,3,2.6,9.75,Overperformed
Dennis Schroder,PG,24,tightness in lower back,1,8,172,Underweight,185.42,Underaverage,3,30.2,6.5,15.4,4.4,5.3,0.5,2.8,5.9,0.8,0.2,2.9,2.1,17.6,12.3,14.66,29.4,6.3,15.3,3.1,3.7,0.5,2.4,5.6,1.2,0.1,3.2,2.5,16.5,10.6,12.98,Underperformed
Willie Cauley-Stein,C,24,bruised right knee,1,5,240,Average Weight,210.82,Overaverage,2,31.8,6.3,14.3,2.7,4.7,1.8,6.5,2,1.3,1,1.9,2.8,14.5,11.4,12.91,28.5,5.5,11.5,1.9,3.5,2.3,4.9,1.8,1.2,1,1.5,3,11.7,10,12.63,Equal
Derrick Favors,PF,27,sore left knee,1,3,265,Overweight,205.74,Average,11,22.2,3.8,7.8,2.2,3.2,2.4,4.8,0.4,0.6,1.3,2,3.4,9.2,7.2,11.68,22.6,5,9,1.8,3,4.6,2.6,0.6,1,1.6,0.6,2.4,11.4,12.6,20.07,Overperformed
Doug McDermott,SF,25,rib injury,1,9,225,Average Weight,198.12,Average,5,17,2.3,5.7,1.1,1.2,0.3,1.1,0.8,0,0.1,0.9,0.8,6.6,3.5,7.41,14.7,2.3,4.4,1.3,1.6,0.2,1.4,1.2,0.3,0.1,0.6,1.6,7,5.5,13.47,Overperformed
Kenneth Faried,PF,26,sore lower back,1,49,220,Underweight,203.2,Average,3,19,3.7,6,2.2,3.5,2.3,3.8,0.8,0.4,0.7,0.9,2.7,9.1,9.1,17.24,24.7,4.9,7.4,2.6,3.5,2.5,5.1,1.1,0.6,0.4,0.7,1.7,11.7,12.4,18.07,Equal
